student
"20133023,Dang Xuan Bach,Nam,Cong nghe thong tin,Ky thuat du lieu,Nam 4"
"21110021,Nguyen Le Bao,Nu,Cong nghe thong tin,Ky thuat du lieu,Nam 3"
"21110308,Quan Minh Duc,Nam,Cong nghe thong tin,Cong nghe thong tin,Nam 3"
"21110296,Le Quoc Vinh,Nam,Cong nghe thong tin,Cong nghe thong tin,Nam 3"
"21110297,Le Quoc Viet,Nam,Cong nghe thong tin,Cong nghe thong tin,Nam 3"
"21110298,Le Quoc Vo,Nam,Cong nghe thong tin,Cong nghe thong tin,Nam 3"
"21110299,Le Quoc Nam,Nam,Cong nghe thong tin,Cong nghe thong tin,Nam 3"
"21110300,Le Quoc Long,Nu,Cong nghe thong tin,Cong nghe thong tin,Nam 3"
"21110301,Le Quoc Linh,Nu,Cong nghe thong tin,Cong nghe thong tin,Nam 3"
"21131159,Le Kieu Yen,Nu,Ngoai ngu,Ngon ngu anh,Nam 3"
"21131158,Le Lan Trinh,Nu,Ngoai ngu,Ngon ngu anh,Nam 3"
"21131157,Le Kieu Yen,Nu,Ngoai ngu,Ngon ngu anh,Nam 3"
"21124360,Le Kim Hung,Nu,Kinh te,Thuong mai dien tu,Nam 3"
"20124362,Le Kim Lan,Nam,Kinh te,Thuong mai dien tu,Nam 4"
"21124361,Le Van Thach,Nam,Kinh te,Thuong mai dien tu,Nam 3"
"20124363,Le Kim Long,Nam,Kinh te,Logistics va quan ly chuoi cung ung,Nam 4"
"20124364,Le Kim Nhung,Nu,Kinh te,Logistics va quan ly chuoi cung ung,Nam 4"
"21149509,Nguyen Van Quy,Nu,Xay dung,Xay dung cong trinh giao thong,Nam 3"
"20149508,Nguyen Van Vu,Nam,Xay dung,Xay dung cong trinh giao thong,Nam 4"
"21149509,Nguyen Van Quy Linh,Nam,Xay dung,Xay dung cong trinh giao thong,Nam 3"
"20145387,Ngo Duc Anh Quan,Nam,Co khi dong luc,Co khi may,Nam 4"
"20149508,Nguyen Van Vu Han,Nu,Xay dung,Xay dung cong trinh giao thong,Nam 4"
"20145386,Phan Nguyen Hoang Nam,Nam,Co khi dong luc,Co khi may,Nam 4"
"21145385,Ngo Duc Anh,Nu,Co khi dong luc,Co khi may,Nam 3"
"20142068,Tran Quang Khai,Nam,Dien dien tu,Tu dong hoa,Nam 4"
"20142067,Phan Anh Quan,Nam,Dien dien tu,Dien tu,Nam 4"
"21142069,Phan Chu Lan,Nu,Dien dien tu,Dien tu,Nam 3"
"20156073,Dang Tuan Duan,Nam,In va truyen thong,In,Nam 4"
"21156073,Tran Minh Dung,Nu,In va truyen thong,In,Nam 3"
"21156074,Quan Minh Phuc,Nam,In va truyen thong,In,Nam 3"
"21156075,Le Hoang Tri An,Nam,In va truyen thong,In,Nam 3"
"21156076,Nguyen Thi Phuong Anh,Nu,In va truyen thong,Truyen thong,Nam 3"
"21156077,Le Quoc Vo,Nam,In va truyen thong,Truyen thong,Nam 3"
"21156078,Huynh Thi Ngoc Anh,Nu,In va truyen thong,Truyen thong,Nam 3"
"21156079,Tran Quoc Bao,Nam,In va truyen thong,Truyen thong,Nam 3"
"20116315,Dang Tuan Duan,Nam,Cong nghe hoa hoc va thuc pham,Ki thuat hoa,Nam 4"
"21116316,Le Thi Thuy Duyen,Nu,Cong nghe hoa hoc va thuc pham,Ki thuat hoa,Nam 3"
"20116317,Phan Ngoc Han,Nu,Cong nghe hoa hoc va thuc pham,Ki thuat hoa,Nam 4"
"21116318,Huynh Cong Hau,Nam,Cong nghe hoa hoc va thuc pham,Ki thuat hoa,Nam 3"
"22116319,Nguyen Ngoc Hoai,Nam,Cong nghe hoa hoc va thuc pham,Ki thuat hoa,Nam 2"
"21116325,Vo Kim Hue,Nu,Cong nghe hoa hoc va thuc pham,Ki thuat hoa,Nam 3"
"21116335,Le Tan Huy,Nam,Cong nghe hoa hoc va thuc pham,Ki thuat hoa,Nam 3"
"22116345,Dang Nguyen Quang Huy,Nam,Cong nghe hoa hoc va thuc pham,Ki thuat hoa,Nam 2"
"21116355,Nguyen Le Huynh,Nam,Cong nghe hoa hoc va thuc pham,Ki thuat hoa,Nam 3"
"22146161,Dang Tuan Duan,Nam,Dao tao quoc te,Kinh doanh quoc te,Nam 2"
"21146171,Nguyen Minh Khanh,Nam,Dao tao quoc te,Kinh doanh quoc te,Nam 3"
"21146127,Dao Tan Kiet,Nam,Dao tao quoc te,Kinh doanh quoc te,Nam 3"
"22146123,Huynh Nguyen Tuan Kiet,Nam,Dao tao quoc te,Kinh doanh quoc te,Nam 2"
"23146129,Nguyen Tuan Kiet,Nam,Dao tao quoc te,Kinh doanh quoc te,Nam 1"
